Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,TOTAL,1858888,1738357
1358,Mega Money,,5,5,768979,552130
1358,Mega Money,,5,10,1009271,740958
1358,Mega Money,,5,20,192202,141625
1358,Mega Money,,5,50,73895,54772
1358,Mega Money,,5,100,12008,8920
1358,Mega Money,,5,500,850,627
1358,Mega Money,,5,1000,161,128
1358,Mega Money,,5,175000,7,4
1358,Mega Money,,5,TOTAL,2057373,1499164
1359,$250000 Bingo,,10,10,924039,597041
1359,$250000 Bingo,,10,20,251904,163413
1359,$250000 Bingo,,10,30,17467,11428
1359,$250000 Bingo,,10,50,91081,59048
1359,$250000 Bingo,,10,75,10534,6738
1359,$250000 Bingo,,10,100,17543,11349
1359,$250000 Bingo,,10,125,7003,4576
1359,$250000 Bingo,,10,175,7045,4624
1359,$250000 Bingo,,10,250,5773,3703
1359,$250000 Bingo,,10,500,4233,2753
1359,$250000 Bingo,,10,750,270,155
1359,$250000 Bingo,,10,1000,24,17
1359,$250000 Bingo,,10,2500,7,4
1359,$250000 Bingo,,10,10000,6,3
1359,$250000 Bingo,,10,250000,6,3
1359,$250000 Bingo,,10,TOTAL,1336935,864855
1360,Triple Tripler,04/30/2012,3,3,392465,346911
1360,Triple Tripler,04/30/2012,3,6,539952,488435
1360,Triple Tripler,04/30/2012,3,9,110536,100671
1360,Triple Tripler,04/30/2012,3,15,36751,33715
1360,Triple Tripler,04/30/2012,3,18,61434,56529
1360,Triple Tripler,04/30/2012,3,24,49053,44905
1360,Triple Tripler,04/30/2012,3,30,49085,45092
1360,Triple Tripler,04/30/2012,3,60,18650,17254
1360,Triple Tripler,04/30/2012,3,90,6634,6096
1360,Triple Tripler,04/30/2012,3,300,1437,1298
1360,Triple Tripler,04/30/2012,3,3000,23,18
1360,Triple Tripler,04/30/2012,3,33333,7,7
1360,Triple Tripler,04/30/2012,3,TOTAL,1266027,1140931
1361,Triple 7's,,5,5,535129,355000
1361,Triple 7's,,5,10,658348,441861
1361,Triple 7's,,5,20,288143,194432
1361,Triple 7's,,5,50,41683,28434
1361,Triple 7's,,5,100,14163,9471
1361,Triple 7's,,5,200,3323,2241
1361,Triple 7's,,5,500,2179,1456
1361,Triple 7's,,5,1000,314,201
1361,Triple 7's,,5,5000,20,15
1361,Triple 7's,,5,50000,6,5
1361,Triple 7's,,5,TOTAL,1543308,1033116
1362,Sweet Cash,,1,1,1212071,513757
1362,Sweet Cash,,1,2,984734,435029
1362,Sweet Cash,,1,4,284048,129893
1362,Sweet Cash,,1,5,75831,35030
1362,Sweet Cash,,1,10,75733,35715
1362,Sweet Cash,,1,20,28398,13584
1362,Sweet Cash,,1,40,15362,7440
1362,Sweet Cash,,1,100,958,445
1362,Sweet Cash,,1,1000,96,44
1362,Sweet Cash,,1,TOTAL,2677231,1170937
1363,Dallas Cowboys,,5,5,1301177,828711
1363,Dallas Cowboys,,5,10,1138459,738477
1363,Dallas Cowboys,,5,20,130114,85014
1363,Dallas Cowboys,,5,50,65061,42729
1363,Dallas Cowboys,,5,100,26911,17655
1363,Dallas Cowboys,,5,1000,375,250
1363,Dallas Cowboys,,5,5000,83,58
1363,Dallas Cowboys,,5,100000,26,15
1363,Dallas Cowboys,,5,TOTAL,2662206,1712909
1364,Houston Texans,,5,5,757459,546127
1364,Houston Texans,,5,10,606091,444420
1364,Houston Texans,,5,20,132519,97723
1364,Houston Texans,,5,50,38170,28308
1364,Houston Texans,,5,100,16856,12599
1364,Houston Texans,,5,1000,315,223
1364,Houston Texans,,5,5000,21,15
1364,Houston Texans,,5,100000,14,11
1364,Houston Texans,,5,TOTAL,1551445,1129426
1365,Haunted Halloween,04/04/2012,2,2,495473,410496
1365,Haunted Halloween,04/04/2012,2,4,495753,422058
1365,Haunted Halloween,04/04/2012,2,5,123964,105116
1365,Haunted Halloween,04/04/2012,2,10,61944,54053
1365,Haunted Halloween,04/04/2012,2,20,41263,36112
1365,Haunted Halloween,04/04/2012,2,50,22818,20142
1365,Haunted Halloween,04/04/2012,2,100,2134,1855
1365,Haunted Halloween,04/04/2012,2,1000,72,60
1365,Haunted Halloween,04/04/2012,2,20000,12,10
1365,Haunted Halloween,04/04/2012,2,TOTAL,1243433,1049902
1366,Quick 6's,05/02/2012,1,1,1136308,995083
1366,Quick 6's,05/02/2012,1,2,984730,885782
1366,Quick 6's,05/02/2012,1,4,151452,139200
1366,Quick 6's,05/02/2012,1,6,75726,70335
1366,Quick 6's,05/02/2012,1,12,94714,88616
1366,Quick 6's,05/02/2012,1,20,40736,38328
1366,Quick 6's,05/02/2012,1,30,3789,3587
1366,Quick 6's,05/02/2012,1,60,1902,1788
1366,Quick 6's,05/02/2012,1,100,467,445
1366,Quick 6's,05/02/2012,1,160,947,887
1366,Quick 6's,05/02/2012,1,600,482,450
1366,Quick 6's,05/02/2012,1,TOTAL,2491253,2224501
1369,Happy Holidays!,04/04/2012,1,1,1299520,1134157
1369,Happy Holidays!,04/04/2012,1,2,893764,801969
1369,Happy Holidays!,04/04/2012,1,4,162610,148737
1369,Happy Holidays!,04/04/2012,1,5,162629,149426
1369,Happy Holidays!,04/04/2012,1,10,121886,113688
1369,Happy Holidays!,04/04/2012,1,20,81181,76747
1369,Happy Holidays!,04/04/2012,1,40,9388,8918
1369,Happy Holidays!,04/04/2012,1,50,4792,4539
1369,Happy Holidays!,04/04/2012,1,100,1469,1377
1369,Happy Holidays!,04/04/2012,1,500,402,384
1369,Happy Holidays!,04/04/2012,1,1000,150,142
1369,Happy Holidays!,04/04/2012,1,TOTAL,2737791,2440084
