Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1333,"Break The Bank","",2,"50","56997","50473"
1333,"Break The Bank","",2,"200","10772","9495"
1333,"Break The Bank","",2,"1000","327","284"
1333,"Break The Bank","",2,"3000","79","71"
1333,"Break The Bank","",2,"30000","10","7"
1333,"Break The Bank","",2,TOTAL,"3208456","2722159"
1336,"Veterans Cash","",2,"2","792054","165434"
1336,"Veterans Cash","",2,"4","791785","175270"
1336,"Veterans Cash","",2,"5","197878","43032"
1336,"Veterans Cash","",2,"10","98981","22836"
1336,"Veterans Cash","",2,"20","66041","15008"
1336,"Veterans Cash","",2,"50","36444","8762"
1336,"Veterans Cash","",2,"100","3444","824"
1336,"Veterans Cash","",2,"1000","104","15"
1336,"Veterans Cash","",2,"20000","20","2"
1336,"Veterans Cash","",2,TOTAL,"1986751","431183"
1341,"Loteria® Texas","05/02/2012",3,"3","2038492","1833705"
1341,"Loteria® Texas","05/02/2012",3,"4","479752","432026"
1341,"Loteria® Texas","05/02/2012",3,"7","419716","390435"
1341,"Loteria® Texas","05/02/2012",3,"10","269711","247008"
1341,"Loteria® Texas","05/02/2012",3,"17","239922","224997"
1341,"Loteria® Texas","05/02/2012",3,"20","239787","221607"
1341,"Loteria® Texas","05/02/2012",3,"30","24944","23464"
1341,"Loteria® Texas","05/02/2012",3,"33","12499","11764"
1341,"Loteria® Texas","05/02/2012",3,"50","11887","11003"
1341,"Loteria® Texas","05/02/2012",3,"80","9993","9421"
1341,"Loteria® Texas","05/02/2012",3,"300","7479","6820"
1341,"Loteria® Texas","05/02/2012",3,"3000","226","210"
1341,"Loteria® Texas","05/02/2012",3,"33000","30","29"
1341,"Loteria® Texas","05/02/2012",3,TOTAL,"3754438","3412489"
1342,"Bonus Break The Bank","05/02/2012",5,"5","1408204","1319945"
1342,"Bonus Break The Bank","05/02/2012",5,"10","1609950","1533577"
1342,"Bonus Break The Bank","05/02/2012",5,"15","553215","529733"
1342,"Bonus Break The Bank","05/02/2012",5,"20","150995","144656"
1342,"Bonus Break The Bank","05/02/2012",5,"50","196172","188906"
1342,"Bonus Break The Bank","05/02/2012",5,"100","37791","36179"
1342,"Bonus Break The Bank","05/02/2012",5,"500","2010","1918"
1342,"Bonus Break The Bank","05/02/2012",5,"1000","384","371"
1342,"Bonus Break The Bank","05/02/2012",5,"7500","40","38"
1342,"Bonus Break The Bank","05/02/2012",5,"75000","21","20"
1342,"Bonus Break The Bank","05/02/2012",5,TOTAL,"3958782","3755343"
1343,"Monthly Bonus","04/09/2012",5,"5","1029476","832945"
1343,"Monthly Bonus","04/09/2012",5,"10","1132879","936826"
1343,"Monthly Bonus","04/09/2012",5,"15","205765","167945"
1343,"Monthly Bonus","04/09/2012",5,"20","411823","342081"
1343,"Monthly Bonus","04/09/2012",5,"25","103094","87080"
1343,"Monthly Bonus","04/09/2012",5,"50","205944","171547"
1343,"Monthly Bonus","04/09/2012",5,"60","32963","27911"
