Scratch-Off Prizes as of 03/28/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1354,$500 Million Frenzy,,20,50,692113,228831
1354,$500 Million Frenzy,,20,100,836412,276558
1354,$500 Million Frenzy,,20,200,151368,50233
1354,$500 Million Frenzy,,20,500,46140,15047
1354,$500 Million Frenzy,,20,1000,23048,7530
1354,$500 Million Frenzy,,20,10000,886,287
1354,$500 Million Frenzy,,20,25000,296,98
1354,$500 Million Frenzy,,20,1000000,40,12
1354,$500 Million Frenzy,,20,2500000,10,3
1354,$500 Million Frenzy,,20,TOTAL,12478145,4132630
1355,Weekly Grand,,2,2,4614454,2326201
1355,Weekly Grand,,2,4,3121269,1633383
1355,Weekly Grand,,2,5,203597,106414
1355,Weekly Grand,,2,10,339513,181745
1355,Weekly Grand,,2,20,203518,101215
1355,Weekly Grand,,2,40,188862,102003
1355,Weekly Grand,,2,300,10749,5881
1355,Weekly Grand,,2,$1,000/wk,4,2
1355,Weekly Grand,,2,TOTAL,8681966,4456844
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,10,863286,802138
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,20,863281,813907
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,50,92440,87899
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,100,25665,24226
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,200,9235,8724
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,500,4435,4251
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,1000,419,393
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,5000,105,102
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,10000,16,15
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,1000000,6,5
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,TOTAL,1858888,1741660
1358,Mega Money,,5,5,768979,568492
1358,Mega Money,,5,10,1009271,762581
1358,Mega Money,,5,20,192202,145804
1358,Mega Money,,5,50,73895,56339
1358,Mega Money,,5,100,12008,9175
1358,Mega Money,,5,500,850,645
1358,Mega Money,,5,1000,161,133
1358,Mega Money,,5,175000,7,5
1358,Mega Money,,5,TOTAL,2057373,1543174
1359,$250000 Bingo,,10,10,924039,630565
1359,$250000 Bingo,,10,20,251904,172479
1359,$250000 Bingo,,10,30,17467,12038
1359,$250000 Bingo,,10,50,91081,62376
1359,$250000 Bingo,,10,75,10534,7117
1359,$250000 Bingo,,10,100,17543,11964
1359,$250000 Bingo,,10,125,7003,4837
1359,$250000 Bingo,,10,175,7045,4881
1359,$250000 Bingo,,10,250,5773,3894
1359,$250000 Bingo,,10,500,4233,2897
1359,$250000 Bingo,,10,750,270,175
1359,$250000 Bingo,,10,1000,24,18
1359,$250000 Bingo,,10,2500,7,5
1359,$250000 Bingo,,10,10000,6,4
1359,$250000 Bingo,,10,250000,6,3
1359,$250000 Bingo,,10,TOTAL,1336935,913253
1360,Triple Tripler,04/30/2012,3,3,392465,350064
1360,Triple Tripler,04/30/2012,3,6,539952,492753
1360,Triple Tripler,04/30/2012,3,9,110536,101495
1360,Triple Tripler,04/30/2012,3,15,36751,33988
1360,Triple Tripler,04/30/2012,3,18,61434,56961
1360,Triple Tripler,04/30/2012,3,24,49053,45293
1360,Triple Tripler,04/30/2012,3,30,49085,45452
1360,Triple Tripler,04/30/2012,3,60,18650,17390
1360,Triple Tripler,04/30/2012,3,90,6634,6144
1360,Triple Tripler,04/30/2012,3,300,1437,1311
1360,Triple Tripler,04/30/2012,3,3000,23,18
1360,Triple Tripler,04/30/2012,3,33333,7,7
1360,Triple Tripler,04/30/2012,3,TOTAL,1266027,1150876
1361,Triple 7's,,5,5,535129,399214
1361,Triple 7's,,5,10,658348,497001
1361,Triple 7's,,5,20,288143,218464
1361,Triple 7's,,5,50,41683,31932
1361,Triple 7's,,5,100,14163,10700
1361,Triple 7's,,5,200,3323,2519
1361,Triple 7's,,5,500,2179,1653
1361,Triple 7's,,5,1000,314,229
1361,Triple 7's,,5,5000,20,16
1361,Triple 7's,,5,50000,6,6
1361,Triple 7's,,5,TOTAL,1543308,1161734
1362,Sweet Cash,,1,1,1212071,600805
1362,Sweet Cash,,1,2,984734,507310
1362,Sweet Cash,,1,4,284048,151069
1362,Sweet Cash,,1,5,75831,40791
1362,Sweet Cash,,1,10,75733,41444
1362,Sweet Cash,,1,20,28398,15693
1362,Sweet Cash,,1,40,15362,8556
1362,Sweet Cash,,1,100,958,525
1362,Sweet Cash,,1,1000,96,54
1362,Sweet Cash,,1,TOTAL,2677231,1366247
1363,Dallas Cowboys,,5,5,1301177,846355
1363,Dallas Cowboys,,5,10,1138459,754069
1363,Dallas Cowboys,,5,20,130114,86800
1363,Dallas Cowboys,,5,50,65061,43642
1363,Dallas Cowboys,,5,100,26911,18018
1363,Dallas Cowboys,,5,1000,375,255
1363,Dallas Cowboys,,5,5000,83,59
1363,Dallas Cowboys,,5,100000,26,15
1363,Dallas Cowboys,,5,TOTAL,2662206,1749213
1364,Houston Texans,,5,5,757459,556647
1364,Houston Texans,,5,10,606091,452762
1364,Houston Texans,,5,20,132519,99554
1364,Houston Texans,,5,50,38170,28826
1364,Houston Texans,,5,100,16856,12842
1364,Houston Texans,,5,1000,315,230
1364,Houston Texans,,5,5000,21,15
1364,Houston Texans,,5,100000,14,11
1364,Houston Texans,,5,TOTAL,1551445,1150887
1365,Haunted Halloween,04/04/2012,2,2,495473,411076
1365,Haunted Halloween,04/04/2012,2,4,495753,422594
1365,Haunted Halloween,04/04/2012,2,5,123964,105244
1365,Haunted Halloween,04/04/2012,2,10,61944,54106
1365,Haunted Halloween,04/04/2012,2,20,41263,36150
1365,Haunted Halloween,04/04/2012,2,50,22818,20159
1365,Haunted Halloween,04/04/2012,2,100,2134,1859
1365,Haunted Halloween,04/04/2012,2,1000,72,61
1365,Haunted Halloween,04/04/2012,2,20000,12,11
1365,Haunted Halloween,04/04/2012,2,TOTAL,1243433,1051260
1366,Quick 6's,05/02/2012,1,1,1136308,1000936
1366,Quick 6's,05/02/2012,1,2,984730,890373
1366,Quick 6's,05/02/2012,1,4,151452,139873
1366,Quick 6's,05/02/2012,1,6,75726,70623
1366,Quick 6's,05/02/2012,1,12,94714,88982
1366,Quick 6's,05/02/2012,1,20,40736,38474
1366,Quick 6's,05/02/2012,1,30,3789,3601
1366,Quick 6's,05/02/2012,1,60,1902,1794
1366,Quick 6's,05/02/2012,1,100,467,448
1366,Quick 6's,05/02/2012,1,160,947,887
1366,Quick 6's,05/02/2012,1,600,482,456
1366,Quick 6's,05/02/2012,1,TOTAL,2491253,2236447
1369,Happy Holidays!,04/04/2012,1,1,1299520,1137116
1369,Happy Holidays!,04/04/2012,1,2,893764,803691
1369,Happy Holidays!,04/04/2012,1,4,162610,149026
1369,Happy Holidays!,04/04/2012,1,5,162629,149696
1369,Happy Holidays!,04/04/2012,1,10,121886,113848
1369,Happy Holidays!,04/04/2012,1,20,81181,76830
1369,Happy Holidays!,04/04/2012,1,40,9388,8923
1369,Happy Holidays!,04/04/2012,1,50,4792,4543
1369,Happy Holidays!,04/04/2012,1,100,1469,1379
1369,Happy Holidays!,04/04/2012,1,500,402,384
1369,Happy Holidays!,04/04/2012,1,1000,150,144
1369,Happy Holidays!,04/04/2012,1,TOTAL,2737791,2445580
1370,Silver Bells,05/30/2012,5,5,1436949,883710
1370,Silver Bells,05/30/2012,5,10,1436840,901154
1370,Silver Bells,05/30/2012,5,20,403952,257147
1370,Silver Bells,05/30/2012,5,50,187334,119740
1370,Silver Bells,05/30/2012,5,100,23566,14989
1370,Silver Bells,05/30/2012,5,500,2376,1530
1370,Silver Bells,05/30/2012,5,1000,1243,770
1370,Silver Bells,05/30/2012,5,5000,52,35
1370,Silver Bells,05/30/2012,5,175000,10,6
1370,Silver Bells,05/30/2012,5,TOTAL,3492322,2179081
1371,Holiday Gold,05/02/2012,2,2,575296,507713
